"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Portuguese>";"<Turkish>";"<Korean>";"<Chinese>";"<Japanese>";"<TChinese>";"<Comments>";"<max_chars>"
"clan/wwar/lacksMembers";"{clanType}: to create an operation needs no less than {count} members in squadron with unit rank no less then {minRankRequired}";"{clanType} : pour créer une opération il ne faut pas moins de {count} membres en escadron avec des unités pas moins de rang {minRankRequired}";"{clanType}: per creare un'operazione bisogna avere almeno {count} membri nella squadriglia con una unità di era non inferiore a {minRankRequired}";"{clanType}: Es sind mindestens {count} Kampfgruppen-Mitglieder erforderlich";"{clanType}: para crear una operación se necesitan no menos de {count} miembros en el escuadrón con unidades de rango no menor a {minRankRequired}";"{clanType}: для создания операции необходимо не менее {count} игроков в полку c рангом техники не ниже {minRankRequired}";"{clanType}: potrzeba co najmniej {count} członków do Dywizjonu z poziomem maszyn nie mniejszym niż {minRankRequired}";"{clanType}: para criar uma operação, é preciso pelo menos {count} membros no esquadrão com veículos de nível não menos que {minRankRequired}";"{clanType}: bir harekat oluşturmak için filoda en düşük {minRankRequired} seviye araca sahip en az {count} üye gereklidir";"{clanType}: 임무를 생성하기 위해선 비행대에 {minRankRequired}이상의 랭크를 가진 장비를 소유한 {count}명 이상의 대원이 필요합니다.";"{clanType}：\t若\t要\t创\t建\t军\t事\t行\t动，\t需\t要\t至\t少 {count} 名\t等\t级\t达\t到 {minRankRequired} 的\t联\t队\t成\t员";"{clanType}: {count} 人以上の\t部隊\tメンバーが\t必要です。";"{clanType}：\t至\t少\t需\t要\t等\t級\t不\t少\t於 {minRankRequired}\t的 {count} 名\t聯\t隊\t成\t員";;
"clan/clan_squads";"Squadron squads";"Escouades de l'escadron";"Plotoni Squadriglia";"Kampfgruppen-Staffeln";"Escuadrillas del Escuadrón";"Отряды полка";"Oddziały dywizjonu";"Esquadrilhas do Esquadrão";"Filo takımları";"비행대 편대";"联\t队\t分\t队";"部隊の\t分隊";"聯\t隊\t分\t隊";;
"clan/no_squads_in_clan";"No squads in the squadron";"Pas d'escadres dans l'escadron";"Nessun plotone nella squadriglia";"Keine Staffeln in der Kampfgruppe";"No hay escuadrillas en el escuadrón";"Нет отрядов в полку";"Brak oddziałów w dywizjonie";"Não há esquadrilhas no Esquadrão";"Filo içerisinde takım yok";"비행대에 만들어진 편대가 없습니다.";"联\t队\t中\t没\t有\t分\t队";"部隊に\t分隊がいない";"聯\t隊\t中\t沒\t有\t分\t隊";;
"clan/voice_chat/widget";"List of voice chat users of your squadron";"Liste des utilisateurs du chat vocal de votre escadron";"Lista delle chat vocali della tua squadriglia";"Liste der Voice-Chat-Benutzer der Kampfgruppe";"Lista de usuarios de chat de voz de su escuadrón";"Список игроков голосового чата вашего полка";"Lista użytkowników czatu głosowego z twojego dywizjonu";"Lista de usuários de comandos de voz no seu Esquadrão";"Filonuzda olan sesli sohbet kullanıcılarının listesi";"소속 비행대의 음성 채팅 이용자 명단";"已\t启\t用\t语\t音\t聊\t天\t功\t能\t的\t联\t队\t成\t员";"部隊内\tユーザーの\tボイスチャットの\tリスト";"你\t的\t聯\t隊\t語\t音\t聊\t天\t列\t表";;
"clan/consolePlayerOnPC";"Squadrons are available only while you're playing PC version.";"Les escadrons ne sont disponibles que sur la version PC.";"Le Squadriglie sono disponibili solo se stai giocando alla versione PC.";"Kampfgruppen sind nur verfügbar wenn du die PC Version von War Thunder spielst.";"Los escuadrones solo están disponibles en la versión de PC.";"Полки доступны только во время игры в ПК версию.";"Dywizjony są dostępne tylko, gdy korzystasz z wersji PC";"Esquadrões estão disponíveis apenas quando se encontra a jogar a versão para PC.";"Filolar sadece eğer PC versiyonunda oynuyor iseniz mevcut.";"비행대는 PC버전에서만 이용 가능한 기능입니다.";"联\t队\t功\t能\t仅\t电\t脑\t端\t可\t用。";"PC\t版でのみ\t部隊が\t利用可能です。";"聯\t隊\t僅\t在\t遊\t玩\tPC\t版\t本\t時\t可\t以\t使\t用";;
"clan/activity_reward/wasBoost";"There was bonus on received reward: {bonus}";"Il y avait un bonus sur la récompense reçue: {bonus}";"C'era un bonus nel premio ricevuto: {bonus}";"Es gab einen Bonus auf die erhaltene Belohnung: {bonus}";"Bonificación en la recompensa recibida: {bonus}";"Действовал бонус на полученую награду: {bonus}";"Premia do zdobytej nagrody: {bonus}";"Bônus na recompensa recebida: {bonus}";"Alınan ödüle bir bonus var: {bonus}";"획득한 보상 보너스: {bonus}";"获\t得\t报\t酬\t时\t的\t加\t成：\t{bonus}";"獲得した\t報酬の\tボーナス：\t {bonus}";"獲\t得\t報\t酬\t時\t的\t加\t成：\t{bonus}";;
"clan/activity_reward/nowBoost";"Activity reward bonuses: {bonus}";"Bonus de récompense d'activité: {bonus}";"Bonus premi attività: {bonus}";"Aktivitätsbelohnungs bonus: {bonus}";"Bonificación de recompensa por actividad: {bonus}";"Бонус к награде за активность: {bonus}";"Premia za aktywność: {bonus}";"Bônus de recompensa pela atividade: {bonus}";"Aktivite ödülü bonusları: {bonus}";"활동 보상 보너스: {bonus}";"活\t跃\t度\t报\t酬\t加\t成：\t{bonus}";"貢献率度報酬\tボーナス：\t{bonus}";"活\t躍\t度\t報\t酬\t加\t成：\t{bonus}";;
"clan/leaderboard/filter/open";"Hide closed";"Masquer les escadrons verrouillés";"Nascondi quelle chiuse";"Geschlossen ausblenden";"No mostrar cerrados";"Скрывать закрытые";"Ukryj zamknięte";"Ocultar fechados";"Kapatılanları gizle";"가입 비허용 비행대 숨기기";"隐\t藏\t拒\t绝\t加\t入";"非表示を\t止める";"隱\t藏\t拒\t絕\t加\t入";;
"clan/leaderboard/filter/notFull";"Hide full";"Masquer les escadrons complets";"Nascondi quelle piene";"Komplett verstecken";"No mostrar llenos";"Скрывать заполненные";"Ukryj pełne";"Ocultar cheios";"Dolmuşları gizle";"꽉 찬 비행대 숨기기";"隐\t藏\t人\t数\t已\t满";"全て\t非表示にする";"隱\t藏\t人\t數\t已\t滿";;
"clan/leaderboard/filter/autoAccept";"Hide without Auto-accept applications";"Masquer les escadrons sans la fonctionnalité d’auto-acceptation";"Nascondi quelle senza accettazione automatica";"Ausblenden ohne automatische Aktzeptanz von Bewerbungen";"No mostrar sin aceptación automática de solicitudes";"Скрывать без автоматического принятия заявок";"Ukryj dywizjony bez automatycznej akceptacji podań";"Ocultar sem aceitação automática";"Otomatik-onaylama olmayanları gizle";"자동가입 비활성화 비행대 숨기기";"隐\t藏\t手\t动\t通\t过";"自動承認申請以外を\t非表示にする";"隱\t藏\t手\t動\t通\t過";;
"clan/fits_requirements/desc";"Compliance requirements to Candidates";"Exigences à remplir pour les candidats";"Requisiti dei candidati";"Regelanforderungen an die Kandidaten";"Cumplimiento de requisitos para Candidatos";"Соответствие требованиям к соискателям";"Wymagania wobec kandydatów";"Cumpre os requisitos esperados";"Adaylar için katılım gereksinimleri";"가입 조건";"满\t足\t申\t请\t要\t求";"志望者の\t順守要件";"滿\t足\t申\t請\t要\t求";;
"clan/no_requirements";"No requirements";"Aucune exigence";"Nessun requisito";"Keine Anforderungen";"Sin requisitos";"Нет требований";"Brak wymagań";"Não há requerimentos";"Gereksinim yok";"요구 사항 없음";"无\t要\t求";"要件なし";"沒\t有\t要\t求";;
"clan/battle_season/warning";"If player leaves squadron before rewarding, he will not receive a reward, and clan rating will change.";"Si un joueur quitte l'escadron avant l'attribution des récompenses, il n'en recevra pas et le classement de l'escadron changera.";"Se un giocatore abbandona la squadriglia prima della ricompensa, non riceverà nulla e la classifica del clan cambierà.";"Wenn ein Spieler das Geschwader vor der Belohnung verlässt, erhält er keine Belohnung, und die Clan-Bewertung ändert sich.";"Si el jugador abandona el escuadrón antes de la entrega de recompensas, no recibirá recompensa, y la puntuación del clan cambiará.";"Если игрок покинет полк до награждения, то он не получит награду, а рейтинг клана изменится";"Jeśli gracz opuści dywizjon przed rozdaniem nagród, nie otrzyma swojej nagrody, a ocena dywizjonu ulegnie zmianie.";"Se o jogador deixar o clã antes da premiação, ele não receberá recompensas e a classificação do esquadrão será afetada.";"Eğer oyuncu filodan ödüllendirme öncesi ayrılır ise ödül almaz ve filo derecesi değişir.";"만약 플레이어가 보상을 받기 전에 비행대를 떠나게 되면 보상을 받지 못하게 되며 비행대 레이팅에도 변동이 생깁니다.";"如\t果\t玩\t家\t在\t奖\t励\t结\t算\t前\t退\t出\t联\t队，\t则\t无\t法\t获\t得\t奖\t励，\t且\t联\t队\t评\t分\t也\t会\t改\t变。";"報酬を\t受ける\t前に\t分隊を\t離れた\t場合、\t報酬を\t受け\t取ることはできず、\tクランの\tレーティングも\t変更されます。";"如\t果\t玩\t家\t在\t獎\t勵\t結\t算\t前\t退\t出\t聯\t隊，\t則\t無\t法\t獲\t得\t獎\t勵，\t且\t聯\t隊\t評\t分\t也\t會\t改\t變。";;
